candidate,candidate_type,growth_mae_pp,growth_rmse_pp,growth_bias_pp,growth_median_ae_pp,growth_p90_ae_pp,price_mae_usd_per_oz,price_rmse_usd_per_oz,price_bias_usd_per_oz,correlation,amplitude_ratio,log_return_mae,log_return_mse
ZeroForecast,baseline,1.2774941043216135,1.8585526452568462,0.013298130365248304,0.9058052552457949,3.1104789959327106,60.1309202453988,89.74672567296486,1.2720858895705545,,0.0,0.01280846051566549,0.00035163908594912217
ElasticNet,model,1.2781097416361986,1.8597322075483103,0.06754841872687753,0.8855547816020883,3.1430291689496896,60.168614156926644,89.83806955282358,3.7813192851091073,,0.0,0.012814613890703683,0.00035226701420151027
HistoricalMean,baseline,1.2781097416361986,1.8597322075483103,0.06754841872687753,0.8855547816020883,3.1430291689496896,60.168614156926644,89.83806955282358,3.7813192851091073,,0.0,0.012814613890703683,0.00035226701420151027
Lasso,model,1.2781097416361986,1.8597322075483103,0.06754841872687753,0.8855547816020883,3.1430291689496896,60.168614156926644,89.83806955282358,3.7813192851091073,,0.0,0.012814613890703683,0.00035226701420151027
WeightedEnsemble,ensemble,1.2806562060448585,1.8639121234637201,0.04269571336179208,0.8845210306895209,3.0769560752209437,60.29724945905533,90.02184656147722,2.5545362379093968,-0.10028508746397276,0.023636300028182726,0.012840080756861012,0.00035373088011017107
Ridge,model,1.2820198454031329,1.8661262237728555,0.030701953469547176,0.8878079895852639,3.0285438033612735,60.366262151575,90.11403992931366,1.9545614159145481,-0.09354156937680981,0.03566880557848494,0.012853728546086858,0.00035450005186603355
OLS,model,1.2827960544807362,1.8672674711137258,0.02905844588802325,0.8883971827974368,3.0186116432863495,60.404182767005906,90.16821450127469,1.8691265876402094,-0.09695778671799123,0.039453692028066305,0.012861492694275688,0.0003549199891621575
BaggedHuber,model,1.285605942540192,1.8694197771845258,0.017767594908069218,0.8809703122608339,2.981146167210412,60.5420872965111,90.28536241654828,1.343702967584749,-0.10319994452612004,0.04626244860622977,0.01288961229681066,0.0003557196384649952
