model,development_growth_mae_pp,weight
OLS,0.6633838718926972,0.19619695649721147
Ridge,0.6603503442780865,0.19709824910740542
Lasso,0.6421113666251622,0.20269676479759566
ElasticNet,0.6425992645074766,0.2025428658939414
BaggedHuber,0.6460367353931696,0.2014651637038461
