strategy,threshold_pp,sizing,risk_multiplier,observations,trades,average_target_weight,turnover_one_way_weight,initial_capital,final_capital,total_net_pnl,total_gross_pnl,total_trading_cost,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_net_pnl_per_trade,selected_primary_on_development
Vol_t0.000_r0.5,0.0,volatility,0.5,143,87,0.3451541741329814,49.357046901016346,100000.0,127542.24443394004,27542.24443394009,33294.56114196,5752.316708019907,0.2754224443394004,0.5352799061821052,0.1160731205610048,3.753777433136749,-0.0402357796308885,316.5775222291965,True
Full_t0.100,0.10005,full,,143,75,0.5244755244755245,75.0,100000.0,127495.87439783353,27495.87439783356,36346.29610526279,8850.42170742923,0.2749587439783352,0.5342964041412666,0.1374310164666937,3.185206995035536,-0.0470488334262082,366.6116586377809,False
BaggedHuberZeroThreshold,0.0,full,,143,87,0.6083916083916084,87.0,100000.0,125775.3072301697,25775.307230169725,35951.921416716345,10176.614186546629,0.257753072301697,0.497996337848207,0.1494246959202436,2.7805221651731262,-0.0675683112849331,296.2678991973532,False
AlwaysFlat,1000000000000.0,full,,143,0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
BuyAndHold,,continuous holding,,143,1,1.0,1.0,100000.0,91453.02528404546,-8546.974715954537,-8451.24981479346,95.72490116108304,-0.0854697471595453,-0.1456776161553927,0.2619475990241677,-0.4673457451972393,-0.2229421788013074,-8546.974715954537,False
AlwaysLongIntraday,-1000000000000.0,full,,143,143,1.0,143.0,100000.0,82098.60366828638,-17901.396331713575,-4154.148657535461,13747.247674178116,-0.1790139633171362,-0.2936185916645091,0.2026633660993986,-1.6133237887435614,-0.2480030300973541,-125.18458973226276,False
