candidate,candidate_type,growth_mae_pp,growth_rmse_pp,growth_bias_pp,growth_median_ae_pp,growth_p90_ae_pp,growth_magnitude_mae_pp,growth_magnitude_bias_pp,price_change_mae_cny_per_gram,price_change_rmse_cny_per_gram,price_change_bias_cny_per_gram
BaggedHuber,individual,0.7973309926581869,1.109958515546557,0.176244601505599,0.5313267942592877,1.931590282066936,0.6220451605823751,-0.4909418974935072,8.064617627081178,11.30778393058104,1.808515393695337
WeightedEnsemble,ensemble,0.8155303268364349,1.1277410127371366,0.2436972524443055,0.5274438791031371,1.8865485974497231,0.6177632676867936,-0.4719646794465447,8.257069095755428,11.49624393230412,2.530272356539621
Lasso,individual,0.823495105875691,1.1341463758814685,0.2600703010341885,0.5385787489274525,1.8833630383382811,0.6178686716298338,-0.4641913863154951,8.34203679594212,11.56547835424078,2.7059168215863343
ElasticNet,individual,0.823741144423496,1.1351482042568748,0.260769896417379,0.5349247054948237,1.884316712785283,0.6177183152899796,-0.4630018659077252,8.345019844599745,11.57657112547364,2.7128422654185083
Ridge,individual,0.8237655515058726,1.1352489554188667,0.260841184025528,0.534560780244465,1.8844137596936863,0.6177025316205181,-0.4628829664389406,8.34531550223625,11.57768649036423,2.713547753745935
OLS,individual,0.8237689301791156,1.1352620799516069,0.2608486327467116,0.5345122140775914,1.8844239504795657,0.61770147898257,-0.4628676640660151,8.345356782478499,11.577831947034628,2.7136217321676166
