model,development_growth_mae_pp,inverse_mae_weight
OLS,0.6253958130639462,0.1999025469909348
Ridge,0.6253956182021455,0.1999026092769009
Lasso,0.62538510847143,0.1999059686830722
ElasticNet,0.6253947159638583,0.1999028976704278
BaggedHuber,0.6238870481076917,0.2003859773786641
