feature,mean,std,min,max
breakeven_inflation_10y,0.0008128699911582,0.0001568953389685,0.0004162453281581,0.0009777062333106
intercept,-0.0007494982604817,0.0001440632539641,-0.0010235004828767,-0.0005366620650011
ma_gap_20d,-3.4690706973255526e-05,0.0002317512124287,-0.0004200907280715,0.0003893745369694
momentum_20d,-6.624514404830582e-05,0.0001885290500601,-0.000503983339289,0.000134448896427
momentum_5d,0.0006955706216063,0.000187240607474,0.0004062132830038,0.0010105137827326
momentum_5d_x_volatility_20d,-0.0011619391934655,0.000138076822289,-0.0015039630318632,-0.0009964047793331
oil_momentum_5d,-0.0001225099043884,7.351619700213291e-05,-0.0002763966731287,1.779122821139504e-05
premium_change_5d,-0.0009266351868414,6.883725670924578e-05,-0.0010165681971241,-0.0007922334616696
return_1d,0.0001794813077722,0.0001152380552509,-4.545238461593326e-05,0.0003809893954984
shanghai_gold_premium,-0.0006709069756798,0.000140950019464,-0.0009360560421753,-0.0004150149597796
shfe_gold_settle_return_1d,-0.0006112452128165,0.000124176079647,-0.0008077306146463,-0.0004367417320875
usdcnh_return_1d,0.0001519066512987,6.222437749501056e-05,8.215283552405456e-05,0.0002998414790758
volatility_20d,0.0001586320866393,0.0001027434662943,1.3788651974061884e-05,0.0003882588153764
xauusd_momentum_5d,0.0001655325896422,0.0001278712388215,-5.1337088855400536e-05,0.0003376234705847
xauusd_return_1d,0.0024761218278495,0.0002128747708233,0.0021021849796731,0.0027530912961728
