scenario,commission_bps_per_side,slippage_bps_per_side,strategy,threshold_pp,sizing,risk_multiplier,observations,trades,average_target_weight,turnover_one_way_weight,initial_capital,final_capital,total_net_pnl,total_gross_pnl,total_trading_cost,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_net_pnl_per_trade
no_costs,0.0,0.0,Vol_t0.000_r0.5,0.0,volatility,0.5,143,87,0.3451541741329814,49.357046901016346,100000.0,133996.01697966224,33996.01697966227,33996.01697966227,0.0,0.3399601697966223,0.6748122408752064,0.1187928968003862,4.404059191127887,-0.0346693606306971,390.7588158581871
half_costs,1.5,1.0,Vol_t0.000_r0.5,0.0,volatility,0.5,143,87,0.3451541741329814,49.357046901016346,100000.0,130729.136255612,30729.136255612077,33642.79603915006,2913.659783537988,0.3072913625561198,0.6035253248108818,0.1173990323940889,4.083771931312551,-0.0374567135058616,353.20846270818475
base_costs,3.0,2.0,Vol_t0.000_r0.5,0.0,volatility,0.5,143,87,0.3451541741329814,49.357046901016346,100000.0,127542.24443394004,27542.24443394009,33294.56114196,5752.316708019907,0.2754224443394004,0.5352799061821052,0.1160731205610048,3.753777433136749,-0.0402357796308885,316.5775222291965
double_costs,6.0,4.0,Vol_t0.000_r0.5,0.0,volatility,0.5,143,87,0.3451541741329814,49.357046901016346,100000.0,121400.60840118634,21400.60840118629,32612.724396229984,11212.115995043694,0.2140060840118633,0.4073988296076336,0.113634031924589,3.065470515893898,-0.045769153315515,245.98400461133667
